calculation time: 0.000579, total time is: 0.000694, n:8 
calculation time: 0.027434, total time is: 0.027561, n:2 
calculation time: 0.001290, total time is: 0.001404, n:4 
calculation time: 0.001201, total time is: 0.001290, n:4 
calculation time: 0.003588, total time is: 0.003736, n:2 
calculation time: 0.000383, total time is: 0.000466, n:16 
calculation time: 0.001723, total time is: 0.001841, n:8 
calculation time: 0.000360, total time is: 0.000447, n:16 
calculation time: 0.087589, total time is: 0.087719, n:32 
calculation time: 0.947092, total time is: 0.947248, n:32 
calculation time: 0.016895, total time is: 0.016998, n:64 
calculation time: 0.021320, total time is: 0.021416, n:64 
calculation time: 0.015313, total time is: 0.015418, n:64 
calculation time: 0.016238, total time is: 0.016347, n:64 
calculation time: 0.021199, total time is: 0.021316, n:64 
calculation time: 0.064094, total time is: 0.064196, n:32 
calculation time: 0.528208, total time is: 0.528309, n:32 
calculation time: 0.013804, total time is: 0.013907, n:64 
calculation time: 0.078883, total time is: 0.078999, n:32 
calculation time: 0.522179, total time is: 0.522283, n:32 
calculation time: 0.000195, total time is: 0.000294, n:32 
calculation time: 0.083175, total time is: 0.083278, n:32 
calculation time: 0.000204, total time is: 0.000301, n:32 
calculation time: 0.076305, total time is: 0.076417, n:32 
calculation time: 0.017045, total time is: 0.017151, n:64 
calculation time: 0.020344, total time is: 0.020456, n:64 
calculation time: 0.018559, total time is: 0.018665, n:64 
calculation time: 0.016801, total time is: 0.016913, n:64 
calculation time: 0.021134, total time is: 0.021239, n:64 
calculation time: 0.017518, total time is: 0.017622, n:64 
calculation time: 0.021351, total time is: 0.021455, n:64 
calculation time: 0.019105, total time is: 0.019216, n:64 
calculation time: 0.018096, total time is: 0.018207, n:64 
calculation time: 0.019904, total time is: 0.020011, n:64 
