calculation time: 71.611265, total time is: -71.668959
calculation time: 72.210533, total time is: -72.262118
calculation time: 72.563135, total time is: -72.615703
calculation time: 72.630045, total time is: -72.686346
calculation time: 72.682301, total time is: -72.742634
calculation time: 72.658319, total time is: -72.712750
calculation time: 72.850862, total time is: -72.914347
calculation time: 73.139618, total time is: -73.190874
calculation time: 73.338930, total time is: -73.390614
calculation time: 73.668039, total time is: -73.727781
calculation time: 73.726176, total time is: -73.780423
calculation time: 73.896071, total time is: -73.948852
calculation time: 73.803075, total time is: -73.857163
calculation time: 73.900379, total time is: -73.954181
calculation time: 73.976572, total time is: -74.034676
calculation time: 74.179727, total time is: -74.233438
calculation time: 74.200702, total time is: -74.254110
calculation time: 74.288273, total time is: -74.342070
calculation time: 74.337708, total time is: -74.392118
calculation time: 74.786645, total time is: -74.840269
calculation time: 74.719948, total time is: -74.773810
calculation time: 74.844194, total time is: -74.899508
calculation time: 99.969005, total time is: -100.031403
calculation time: 100.197921, total time is: -100.259836
